"Indicator_type","Data","Note",
"Description","https://news.sophos.com/en-us/2023/02/28/sour-grapes-stomping-on-a-cambodia-based-pig-butchering-scam/",,
"domain","ace-eth.com","Cloudflare-hosted fake defi site",
"domain","ace-eth.io","Cloudflare-hosted fake defi site",
"domain","ace-eth.net","Cloudflare-hosted fake defi site",
"domain","acerc.me","Fake Android app / website web JSON backend",
"domain","aceth.me","Cloudflare-hosted fake defi site",
"domain","acexh.cc","Fake Android app / website web JSON backend",
"domain","ad.gemin-otc.icu","Fake app download site",
"domain","app.acesdn.club","Fake app download site (Amazon hosted) (no longer active_",
"domain","app.asproexdn.club","Fake app download site (Amazon hosted)",
"domain","app.bakktdn.bar","Fake app download site (Amazon hosted)",
"domain","app.bfiyerdn.vip","Fake app download site (Amazon hosted)",
"domain","app.bikazdn.bar","Fake app download site (Amazon hosted)",
"domain","app.bikidn.club","Fake app download site (Ucloud Informatiomn technology HK hosted)",
"domain","app.bitopdn.vip","Fake app download site (Amazon hosted)",
"domain","app.bittrading.vip","Fake app download site",
"domain","app.btccdn.vip","Fake app download site",
"domain","app.bwdn.club","Fake app download site (Amazon hosted)",
"domain","app.bydn171.club","Fake app download site (Amazon hosted)",":""l"
"domain","app.bydn172.club","Fake app download site (Amazon hosted)",
"domain","app.bydn173.club","Fake app download site (Amazon hosted)",
"domain","app.bydn175.club","Fake app download site (Amazon hosted)",
"domain","app.bydn176.club","Fake app download site (Amazon hosted)",
"domain","app.bydn177.club","Fake app download site (Amazon hosted)",
"domain","app.bydn178.club","Fake app download site (Amazon hosted)",
"domain","app.bydn180.club","Fake app download site (Amazon hosted)",
"domain","app.bydn182.club","Fake app download site (Amazon hosted)",
"domain","app.bydn183.club","Fake app download site (Amazon hosted)",
"domain","app.bydn185.club","Fake app download site (Amazon hosted)",
"domain","app.bydn187.club","Fake app download site (Amazon hosted)",
"domain","app.bydn188.club","Fake app download site (Amazon hosted)",
"domain","app.bydn189.club","Fake app download site (Amazon hosted)",
"domain","app.bydn190.club","Fake app download site (Amazon hosted)",
"domain","app.bydn191.club","Fake app download site (Amazon hosted)",
"domain","app.bydn192.club","Fake app download site (Amazon hosted)",
"domain","app.bydn195.club","Fake app download site (Amazon hosted)",
"domain","app.bydn197.club","Fake app download site (Amazon hosted)",
"domain","app.bydn199.club","Fake app download site (Amazon hosted)",
"domain","app.bydn200.club","Fake app download site (Amazon hosted)",
"domain","app.bydn201.club","Fake app download site (Amazon hosted)",
"domain","app.bydn202.club","Fake app download site (Amazon hosted)",
"domain","app.bydn205.club","Fake app download site (Amazon hosted)",
"domain","app.bydn206.club","Fake app download site (Amazon hosted)",
"domain","app.bydn207.club","Fake app download site (Amazon hosted)",
"domain","app.bydn209.club","Fake app download site (Amazon hosted)",
"domain","app.bydn210.club","Fake app download site (Amazon hosted)",
"domain","app.bydn212.club","Fake app download site (Amazon hosted)",
"domain","app.bydn213.club","Fake app download site (Amazon hosted)",
"domain","app.bydn216.club","Fake app download site (Amazon hosted)",
"domain","app.bydn217.club","Fake app download site (Amazon hosted)",
"domain","app.bydn218.club","Fake app download site (Amazon hosted)",
"domain","app.bydn219.club","Fake app download site (Amazon hosted)",
"domain","app.bydn220.club","Fake app download site (Amazon hosted)",
"domain","app.bydn223.club","Fake app download site (Amazon hosted)",
"domain","app.bydn225.club","Fake app download site (Amazon hosted)",
"domain","app.bydn228.club","Fake app download site (Amazon hosted)",
"domain","app.bydn229.club","Fake app download site (Amazon hosted)",
"domain","app.bydn230.club","Fake app download site (Amazon hosted)",
"domain","app.bydn233.club","Fake app download site (Amazon hosted)",
"domain","app.bydn236.club","Fake app download site (Amazon hosted)",
"domain","app.bydn237.club","Fake app download site (Amazon hosted)",
"domain","app.bydn238.club","Fake app download site (Amazon hosted)",
"domain","app.bydn239.club","Fake app download site (Amazon hosted)",
"domain","app.bydn251.club","Fake app download site (Amazon hosted)",
"domain","app.bydn252.club","Fake app download site (Amazon hosted)",
"domain","app.bydn253.club","Fake app download site (Amazon hosted)",
"domain","app.bydn261.club","Fake app download site (Amazon hosted)",
"domain","app.bydn279.club","Fake app download site (Amazon hosted)",
"domain","app.bydn280.club","Fake app download site (Amazon hosted)",
"domain","app.bydn285.bar","Fake app download site (Amazon hosted)",
"domain","app.bydn303.bar","Fake app download site (Amazon hosted)",
"domain","app.bzudn.club","Fake app download site (Amazon hosted)",
"domain","app.cbodn.bar","Fake app download site (Amazon hosted)",
"domain","app.cncoladn.vip","Fake app download site (Amazon hosted)",
"domain","app.coinexpro.online","Fake app download site (Amazon hosted)",
"domain","app.dcexxdn.bar","Fake app download site (Amazon hosted)",
"domain","app.dn2304.bar","Fake app download site (Amazon hosted)",
"domain","app.easycodn.vip","Fake app download site (Amazon hosted)",
"domain","app.fegdn.club","Fake app download site (Amazon hosted)",
"domain","app.gdaxsdn.bar","Fake app download site (Amazon hosted)",
"domain","app.gemin-otc.net","Fake app download site (Amazon hosted)",
"domain","app.ghcdn.club","Fake app download site (Amazon hosted)",
"domain","app.gohexdn.bar","Fake app download site (Amazon hosted)",
"domain","app.gowdn.club","Fake app download site (Amazon hosted)",
"domain","app.greattkdn.bar","Fake app download site (Amazon hosted)",
"domain","app.hopexdn.bar","Fake app download site (Amazon hosted)",
"domain","app.huazidn.club","Fake app download site (Amazon hosted)",
"domain","app.investdn.club","Fake app download site (Amazon hosted)",
"domain","app.kbdn.bar","Fake app download site (Amazon hosted)",
"domain","app.kdn562.bar","Fake app download site (Amazon hosted)",
"domain","app.metamaskio.live","Fake app download site (Amazon hosted)",
"domain","app.msfdn.bar","Fake app download site (Amazon hosted)",
"domain","app.ofexdn.bar","Fake app download site (Amazon hosted)",
"domain","app.ovezjx.vip","Fake app download site (Amazon hosted)",
"domain","app.phemex-otc.icu","Fake app download site (Amazon hosted)",
"domain","app.qdn110.bar","Fake app download site (Amazon hosted)",
"domain","app.qdn131.bar","Fake app download site (Amazon hosted)",
"domain","app.qdn135.bar","Fake app download site (Amazon hosted)",
"domain","app.robindn.club","Fake app download site (Amazon hosted)",
"domain","app.sfpalexdn.bar","Fake app download site (Amazon hosted)",
"domain","app.snapexdn.vip","Fake app download site (Amazon hosted)",
"domain","app.socodn.bar","Fake app download site (Amazon hosted)",
"domain","app.starkdn.bar","Fake app download site (Amazon hosted)",
"domain","app.tdviewdn.vip","Fake app download site (Amazon hosted)",
"domain","app.thbtaxdn.vip","Fake app download site (Amazon hosted)",
"domain","app.tpgdn.bar","Fake app download site (Amazon hosted)",
"domain","app.upbitdn.club","Fake app download site (Amazon hosted)",
"domain","app.vaneckdn.vip","Fake app download site (Amazon hosted)",
"domain","app.wwfdn.club","Fake app download site (Amazon hosted)",
"domain","app.xkqnqz.vip","Fake app download site (Amazon hosted)",
"domain","app.yzfdn.vip","Fake app download site (Amazon hosted)",
"domain","app.zmyoiq.vip","Fake app download site (Amazon hosted)",
"domain","asdbe.net","Fake Android app / website web JSON backend and webclip (Amazon hosted)",
"domain","atfepro.com","Fake Android app / website web JSON backend (was Cloudflare hosted, now parked)",
"domain","atfexpro.com","Fake Android app / website web JSON backend (was Cloudflare hosted, now parked)",
"domain","axaxtc.com","Fake Android app / website web JSON backend (was Cloudflare hosted, now parked)",
"domain","bankcext.me","fake web app site (Cloudflare hosted)",
"domain","bigone-eth.com","fake web app site",
"domain","binancely-cc.com","fake web app site",
"domain","binances-erc.com","fake web app site",
"domain","binances-erc.xyz","fake web app site",
"domain","binances-eth.cc","fake web app site",
"domain","binances-eth.pro","fake web app site",
"domain","binanceseth.one","Fake Android app / website web JSON backend",
"domain","bitdbex.com","Fake Android app / website web JSON backend",
"domain","bitdbex.lol","fake defi app site",
"domain","bitspionex.net","fake web app site",
"domain","bitstamp-t.com","Fake Android app / website web JSON backend",
"domain","bittrading.vip","fake crypto trading app",
"domain","biuuex.com","Fake Android app / website web JSON backend",
"domain","biuuex.me","fake defi app site",
"domain","btankcex.me","fake web app site",
"domain","btuxt.me","fake crypto trading app",
"domain","bullishx.cc","Fake Android app / website web JSON backend",
"domain","buratf.com","Fake Android app / website web JSON backend",
"domain","buratf.me","Fake Android app / website web JSON backend",
"domain","capfinancedefi.com","fake web app site",
"domain","capfinancedefi.net","fake web app site",
"domain","coinbase-bot.com","Fake Android app / website web JSON backend",
"domain","coinbasedapp-eth.com","Fake Android app / website web JSON backend",
"domain","coinbasedapp.co","fake web app site",
"domain","coinbasedapp.finance","fake web app site",
"domain","coinbasedapp.info","fake web app site",
"domain","coinbasedapp.me","fake web app site",
"domain","coinbasedapp.net","Fake Android app / website web JSON backend",
"domain","coinbasedapp.one","fake web app site",
"domain","coinbasedapp.pro","Fake Android app / website web JSON backend",
"domain","coinbasedapp.site","fake web app site",
"domain","coinbasedapp.us","Fake Android app / website web JSON backend",
"domain","coinbaseswap.org","Fake Android app / website web JSON backend",
"domain","coinbaseth.net","fake web app site",
"domain","coindeal-eth.cc","Fake Android app / website web JSON backend",
"domain","coindeal-eth.com","fake web app site",
"domain","coinjab.cc","Fake Android app / website web JSON backend",
"domain","coinjab.co","fake crypto trading app",
"domain","coinjabs.com","Fake Android app / website web JSON backend",
"domain","coinjabs.me","fake crypto trading app",
"domain","coinupys.xyz","fake crypto trading app",
"domain","coinuuex.net","fake defi app site",
"domain","contracts-eth.io","fake web app site",
"domain","dapplelight.me","Fake Android app / website web JSON backend",
"domain","dappre.net","Fake Android app / website web JSON backend",
"domain","dapps-eth.in","Fake Android app / website web JSON backend",
"domain","dbexbit.me","fake defi app site",
"domain","dbtsex.com","Fake Android app / website web JSON backend",
"domain","dcmvue.vip","fake defi app site",
"domain","ditrecta.me","fake defi app site",
"domain","doexpro.me","fake defi app site",
"domain","down.paxfulx.co","Fake Android app / website web JSON backend",
"domain","dybits.life","fake defi app site",
"domain","erc20-ftxdefi.vip","Fake Android app / website web JSON backend",
"domain","erhauadd.xyz","fake web app site",
"domain","eth-dapps.info","Fake Android app / website web JSON backend",
"domain","eth-finance.io","fake web app site",
"domain","eth-finance.me","Fake Android app / website web JSON backend",
"domain","eth-finance.one","Fake Android app / website web JSON backend",
"domain","ethereum-mining.info","fake web app site",
"domain","ethereum-mining.net","Fake Android app / website web JSON backend",
"domain","ethereum-mining.pro","Fake Android app / website web JSON backend",
"domain","ethpools.me","Fake Android app / website web JSON backend",
"domain","euronext.club","fake web app site",
"domain","exche.xinhptw.com","Fake Android app / website web JSON backend",
"domain","fasteth.io","fake web app site",
"domain","fidelity-eth.com","Fake Android app / website web JSON backend",
"domain","fidelity-eth.net","fake web app site",
"domain","fidelity-mining.cc","Fake Android app / website web JSON backend",
"domain","fidelity-mining.club","fake web app site",
"domain","fidelity-mining.com","Fake Android app / website web JSON backend",
"domain","fidelity-mining.info","fake web app site",
"domain","fidelity-mining.io","Fake Android app / website web JSON backend",
"domain","fidelity-mining.net","fake web app site",
"domain","ftxdefi.net","Fake Android app / website web JSON backend",
"domain","ftxdefi.one","Fake Android app / website web JSON backend",
"domain","gimyglobal.com","Fake Android app / website web JSON backend",
"domain","glbtex.me","fake web app site",
"domain","goe-defi.com","Fake Android app / website web JSON backend",
"domain","goe-defi.info","Fake Android app / website web JSON backend",
"domain","goe-defi.io","Fake Android app / website web JSON backend",
"domain","goe-defi.ioh5","Fake Android app / website web JSON backend",
"domain","goe-defi.me","Fake Android app / website web JSON backend",
"domain","goe-defi.net","Fake Android app / website web JSON backend",
"domain","goedefi.net","Fake Android app / website web JSON backend",
"domain","goexdefi.com","Fake Android app / website web JSON backend",
"domain","goexfe.cc","fake web app site",
"domain","gtjamu.com","fake web app site",
"domain","gtjaos.com","fake web app site",
"domain","gtjaus.com","fake web app site",
"domain","gtjavt.com","fake web app site",
"domain","h5.aexbitpro.vip","Fake Android app / website web JSON backend",
"domain","h5.ammdx.com","fake web app site",
"domain","h5.atfepro.com","Fake Android app / website web JSON backend",
"domain","h5.bitavatrade.com","Fake Android app / website web JSON backend",
"domain","h5.btcumbap.com","Fake Android app / website web JSON backend",
"domain","h5.bvproglobal.com","Fake Android app / website web JSON backend",
"domain","h5.dappre.net","Fake Android app / website web JSON backend",
"domain","h5.espro66.com","fake web app site",
"domain","h5.glgoa.com","fake web app site",
"domain","h5.ifmexpro.com","Fake Android app / website web JSON backend",
"domain","h5.kbcoin.io","fake defi app site",
"domain","h5.kingtimetek.com","fake web app site",
"domain","h5.ndaxf.com","Fake Android app / website web JSON backend",
"domain","h5.opensoilx.com","fake web app site",
"domain","h5.tmsfin.com","Fake Android app / website web JSON backend",
"domain","happynewyear.nqxd.net","fake web app site",
"domain","hkex.dr74.cc","fake web app site",
"domain","insnag.me","fake defi app site",
"domain","iosalbank.vip","Fake Android app / website web JSON backend",
"domain","ioslbank.vip","Fake Android app / website web JSON backend",
"domain","kacofin.com","Fake Android app / website web JSON backend",
"domain","kacofinance.com","Fake Android app / website web JSON backend",
"domain","kacofinance.net","Fake Android app / website web JSON backend",
"domain","kbcoin.io","Fake Android app / website web JSON backend",
"domain","kbcoins.me","fake defi app site",
"domain","kubcoins.io","Fake Android app / website web JSON backend",
"domain","kybdex.me","Fake Android app / website web JSON backend",
"domain","lbank-t.com","Fake Android app / website web JSON backend",
"domain","lbank-t.net","Fake Android app / website web JSON backend",
"domain","lbankebit.com","Fake Android app / website web JSON backend",
"domain","lbankex.net","Fake Android app / website web JSON backend",
"domain","lbanktx.com","Fake Android app / website web JSON backend",
"domain","lcex-eth.com","fake web app site",
"domain","lejerx.com","fake web app site",
"domain","lioncoin.buzz","fake web app site",
"domain","m.bitdboss.com","Fake Android app / website web JSON backend",
"domain","m.bitrjtrade.com","Fake Android app / website web JSON backend",
"domain","m.extelepro.com","Fake Android app / website web JSON backend",
"domain","m.rjbitex.vip","Fake Android app / website web JSON backend",
"domain","m.rjexglobal.com","Fake Android app / website web JSON backend",
"domain","mdappb.com","Fake Android app / website web JSON backend",
"domain","mdexwap.vip","Fake Android app / website web JSON backend",
"domain","metamaskmin-eth.com","Fake Android app / website web JSON backend",
"domain","metamaskmin-eth.info","fake web app site",
"domain","metamaskmin.com","fake web app site",
"domain","metamaskmin.pro","fake web app site",
"domain","nano.nanotechos.com","fake web app site",
"domain","neocrypt.info","fake web app site",
"domain","penzo-trade.io","Fake Android app / website web JSON backend",
"domain","rexness.me","Fake Android app / website web JSON backend",
"domain","safepal365-erc.net","fake web app site",
"domain","stakewise.net","Fake Android app / website web JSON backend",
"domain","tescoshoppingmall.com","fake web app site",
"domain","tiger01.cc","Fake Android app / website web JSON backend",
"domain","tmsfin.com","Fake Android app / website web JSON backend",
"domain","towerresearch.co","fake web app site",
"domain","towerresearch.io","Fake Android app / website web JSON backend",
"domain","towerresearch.one","Fake Android app / website web JSON backend",
"domain","towerresearch.pro","fake web app site",
"domain","tscoints.com","Fake Android app / website web JSON backend",
"domain","tscoints.lol","Fake Android app / website web JSON backend",
"domain","uuexcoin.com","Fake Android app / website web JSON backend",
"domain","uuexpro.io","fake defi app site",
"domain","virgo-eth.vip","fake web app site",
"domain","virgo.vip","fake web app site",
"domain","wap.acyap.top","fake web app site",
"domain","wap.ahqap.vip","fake web app site",
"domain","wap.alinamoney.cn","fake web app site",
"domain","wap.ameritdap.com","fake web app site",
"domain","wap.ba1260.com","fake web app site",
"domain","wap.ba1762.com","fake web app site",
"domain","wap.ba2308.com","fake web app site",
"domain","wap.ba2992.vip","fake web app site",
"domain","wap.ba3113.vip","fake web app site",
