Indicator,Data,Notes
url_path,/_nuxt/074c9ee.js,liquidity mining scam site javascript
url_path,/_nuxt/1fb0d26.js,liquidity mining scam site javascript
url_path,/_nuxt/2833063.js,liquidity mining scam site javascript
url_path,/_nuxt/991368f.js,liquidity mining scam site javascript
url_path,/_nuxt/e880406.js,liquidity mining scam site javascript
url_path,/_nuxt/f335ae3.js,liquidity mining scam site javascript
url_path,/_nuxt/fcdc4d8.js,liquidity mining scam site javascript
url_path,/?shiny,Common URL query string used on scam sites
url_path,/profile/upload/2022/10/09/2bafb51d-cc40-425f-9b81-923bbe149dd9.png,
url_path,/site/global,variable JSON fie
url_path,/static/js/chunk-vendors.a28ab9c9.js,Anti-analysis script restricting access to specific wallet browsers
url_path,/profile/upload/2023/06/01/7b4e8ed0-b861-4483-8179-33e58a61de5f.jpg,UI element for Ada/Trust/.Allnodes scam 
url_path,/static/js/index.711aa5a6.js,
ip, 75.2.21.224,
domain,ada-coin.info,ADA TAC scam site
domain,ada-defi.beauty,ADA TAC scam site
domain,ada-defi.pics,ADA TAC scam site
domain,ada-defi.xyz,ADA TAC scam site
domain,allnodes.vip,ALLNODES TAC scam site
domain,allnodes.xyz,ALLNODES TAC scam site
domain,binance.vu,
domain,binanceaa.com,
domain,binancebb.com,
domain,binancewk.com,
domain,blockexplorerc.com,
domain,bnbu8.com,
domain,bnbu9.com,
domain,bnbusc.com,
domain,bnbusdtk.com,
domain,bsc-liquidao188.com,
domain,bscusdtp.com,
domain,c0in8.com,
domain,cointrxb.top,
domain,cointrxb.xyz,
domain,cointrxf.xyz,
domain,cwmining.biz,
domain,cwusd.biz,
domain,cwusd.club,
domain,defi-h.com,
domain,defi-y.com,
domain,defi55.com,
domain,defi77.com,
domain,defiusdt1.xyz,
domain,defiusdt3.xyz,
domain,defiusdt4.xyz,
domain,egac.top,mobile-wallet only scam site
domain,ephae.top,mobile-wallet only scam site
domain,ephaq.top,mobile-wallet only scam site
domain,ephar.top,mobile-wallet only scam site
domain,ephau.top,mobile-wallet only scam site
domain,ephbd.top,mobile-wallet only scam site
domain,ephbm.top,mobile-wallet only scam site
domain,ephbq.top,mobile-wallet only scam site
domain,ephbs.top,mobile-wallet only scam site
domain,ephdb.top,mobile-wallet only scam site
domain,ephdg.top,mobile-wallet only scam site
domain,ephdh.top,mobile-wallet only scam site
domain,epheh.top,mobile-wallet only scam site
domain,epher.top,mobile-wallet only scam site
domain,ephfo.top,mobile-wallet only scam site
domain,ephfr.top,mobile-wallet only scam site
domain,ephfz.top,mobile-wallet only scam site
domain,ephhg.top,mobile-wallet only scam site
domain,ephhj.top,mobile-wallet only scam site
domain,ephhu.top,mobile-wallet only scam site
domain,ephij.top,mobile-wallet only scam site
domain,ephiu.top,mobile-wallet only scam site
domain,ephiz.top,mobile-wallet only scam site
domain,ephju.top,mobile-wallet only scam site
domain,ephjx.top,mobile-wallet only scam site
domain,ephkl.top,mobile-wallet only scam site
domain,ephkp.top,mobile-wallet only scam site
domain,ephld.top,mobile-wallet only scam site
domain,ephma.top,mobile-wallet only scam site
domain,ephmf.top,mobile-wallet only scam site
domain,ephmr.top,mobile-wallet only scam site
domain,ephna.top,mobile-wallet only scam site
domain,ephne.top,mobile-wallet only scam site
domain,ephnq.top,mobile-wallet only scam site
domain,ephns.top,mobile-wallet only scam site
domain,ephox.top,mobile-wallet only scam site
domain,ephpd.top,mobile-wallet only scam site
domain,ephpk.top,mobile-wallet only scam site
domain,ephpv.top,mobile-wallet only scam site
domain,ephpy.top,mobile-wallet only scam site
domain,ephqk.top,mobile-wallet only scam site
domain,ephqq.top,mobile-wallet only scam site
domain,ephqs.top,mobile-wallet only scam site
domain,ephri.top,mobile-wallet only scam site
domain,ephrs.top,mobile-wallet only scam site
domain,ephsl.top,mobile-wallet only scam site
domain,ephtg.top,mobile-wallet only scam site
domain,ephus.top,mobile-wallet only scam site
domain,ephvg.top,mobile-wallet only scam site
domain,ephvj.top,mobile-wallet only scam site
domain,ephvm.top,mobile-wallet only scam site
domain,ephvq.top,mobile-wallet only scam site
domain,ephvr.top,mobile-wallet only scam site
domain,ephvv.top,mobile-wallet only scam site
domain,ephwz.top,mobile-wallet only scam site
domain,ephxe.top,mobile-wallet only scam site
domain,ephxt.top,mobile-wallet only scam site
domain,ephyo.top,mobile-wallet only scam site
domain,ephyx.top,mobile-wallet only scam site
domain,ephzb.top,mobile-wallet only scam site
domain,ephzl.top,mobile-wallet only scam site
domain,ephzm.top,mobile-wallet only scam site
domain,ephzp.top,mobile-wallet only scam site
domain,ephzs.top,mobile-wallet only scam site
domain,ephzu.top,mobile-wallet only scam site
domain,eth-defi.one,ADA TAC scam site
domain,eth-mining.xyz,
domain,ethereumfour.com,
domain,ethereumseven.com,
domain,ethereumzz.com,
domain,ethhon.top,
domain,ethtonx.club,
domain,ethtonx.com,
domain,ethtrx.club,
domain,ethtrx.info,
domain,ethtrx.xyz,
domain,godtrx.club,
domain,imcoinbasera.com,
domain,imcoinbaserb.com,
domain,imcoinbaserc.com,
domain,imcoinbaserd.com,
domain,imcoinbasere.com,
domain,japgu.com,
domain,joanmurphy.com,
domain,leufrv.top,mobile-wallet only scam site
domain,leuukj.top,mobile-wallet only scam site
domain,lhuvtz.top,mobile-wallet only scam site
domain,liufpp.top,mobile-wallet only scam site
domain,llukpd.top,mobile-wallet only scam site
domain,lpuamc.top,mobile-wallet only scam site
domain,lruaor.top,mobile-wallet only scam site
domain,lsugoq.top,mobile-wallet only scam site
domain,lsuhul.top,mobile-wallet only scam site
domain,ltujxi.top,mobile-wallet only scam site
domain,lucky661.com,analysis-resistant scam site
domain,lvuyft.top,mobile-wallet only scam site
domain,lwuvwv.top,mobile-wallet only scam site
domain,lxuqfd.top,mobile-wallet only scam site
domain,lyueex.top,mobile-wallet only scam site
domain,lyxfqh.com,analysis-resistant scam site
domain,lzuaqi.top,mobile-wallet only scam site
domain,maderasfe.com,analysis-resistant scam site
domain,mandala95.com,analysis-resistant scam site
domain,mice5.com,analysis-resistant scam site
domain,mining-12.com,analysis-resistant scam site
domain,mining-888.com,analysis-resistant scam site
domain,mining.xiasix.com,analysis-resistant scam site
domain,mining118.com,analysis-resistant scam site
domain,mining13675.com,analysis-resistant scam site
domain,mining198.com,analysis-resistant scam site
domain,mining66.com,analysis-resistant scam site
domain,mining822.com,analysis-resistant scam site
domain,mining997.com,analysis-resistant scam site
domain,miningggg.com,analysis-resistant scam site
domain,miningkt.cc,analysis-resistant scam site
domain,miningpoob.com,analysis-resistant scam site
domain,miningpooc.com,analysis-resistant scam site
domain,miningpooe.com,analysis-resistant scam site
domain,miningpoof.com,analysis-resistant scam site
domain,miningpook.com,analysis-resistant scam site
domain,miningpoop.com,analysis-resistant scam site
domain,miningpoox.com,analysis-resistant scam site
domain,miningus.co,analysis-resistant scam site
domain,miningusd.pro,analysis-resistant scam site
domain,miningusdt.life,analysis-resistant scam site
domain,nbvpo.com,analysis-resistant scam site
domain,net-8898.com,TRUST TAC scam site
domain,newcoinweb.com,analysis-resistant scam site
domain,pancakeswap-cakedefi.vip,analysis-resistant scam site
domain,papclu.top,mobile-wallet only scam site
domain,papenc.top,mobile-wallet only scam site
domain,papicf.top,mobile-wallet only scam site
domain,papkdx.top,mobile-wallet only scam site
domain,papkwt.top,mobile-wallet only scam site
domain,papoca.top,mobile-wallet only scam site
domain,papojv.top,mobile-wallet only scam site
domain,pbpbwt.top,mobile-wallet only scam site
domain,pbpbxe.top,mobile-wallet only scam site
domain,pbpels.top,mobile-wallet only scam site
domain,pbpvfn.top,mobile-wallet only scam site
domain,pcpgxr.top,mobile-wallet only scam site
domain,pcphxk.top,mobile-wallet only scam site
domain,pcpjuf.top,mobile-wallet only scam site
domain,pcplci.top,mobile-wallet only scam site
domain,pcpvey.top,mobile-wallet only scam site
domain,pdpjmu.top,mobile-wallet only scam site
domain,pdpnvj.top,mobile-wallet only scam site
domain,pdpoxa.top,mobile-wallet only scam site
domain,pdppyv.top,mobile-wallet only scam site
domain,pdptsr.top,mobile-wallet only scam site
domain,pdpwmy.top,mobile-wallet only scam site
domain,pepgde.top,mobile-wallet only scam site
domain,pepida.top,mobile-wallet only scam site
domain,pepiol.top,mobile-wallet only scam site
domain,pepowz.top,mobile-wallet only scam site
domain,pepumf.top,mobile-wallet only scam site
domain,pepwyc.top,mobile-wallet only scam site
domain,pepzpg.top,mobile-wallet only scam site
domain,pfpwvd.top,mobile-wallet only scam site
domain,pgpsup.top,mobile-wallet only scam site
domain,pgpuaf.top,mobile-wallet only scam site
domain,pgpvvv.top,mobile-wallet only scam site
domain,phpsqo.top,mobile-wallet only scam site
domain,pipeaj.top,mobile-wallet only scam site
domain,pipnut.top,mobile-wallet only scam site
domain,pipqmz.top,mobile-wallet only scam site
domain,pipyqk.top,mobile-wallet only scam site
domain,pjpcpm.top,mobile-wallet only scam site
domain,pjpltj.top,mobile-wallet only scam site
domain,pjpndy.top,mobile-wallet only scam site
domain,pjpooc.top,mobile-wallet only scam site
domain,pjpxof.top,mobile-wallet only scam site
domain,pkpnzf.top,mobile-wallet only scam site
domain,pkppds.top,mobile-wallet only scam site
domain,pkpsru.top,mobile-wallet only scam site
domain,pkpzde.top,mobile-wallet only scam site
domain,plpabw.top,mobile-wallet only scam site
domain,plpobv.top,mobile-wallet only scam site
domain,plppaw.top,mobile-wallet only scam site
domain,pmpddz.top,mobile-wallet only scam site
domain,pmpivp.top,mobile-wallet only scam site
domain,pmprcd.top,mobile-wallet only scam site
domain,pmpssi.top,mobile-wallet only scam site
domain,pmpxlg.top,mobile-wallet only scam site
domain,pnpcll.top,mobile-wallet only scam site
domain,pnpcwp.top,mobile-wallet only scam site
domain,pnphna.top,mobile-wallet only scam site
domain,pnpmpz.top,mobile-wallet only scam site
domain,popaqm.top,mobile-wallet only scam site
domain,poplvi.top,mobile-wallet only scam site
domain,poprpf.top,mobile-wallet only scam site
domain,popxys.top,mobile-wallet only scam site
domain,pppcks.top,mobile-wallet only scam site
domain,pppczu.top,mobile-wallet only scam site
domain,pppuyg.top,mobile-wallet only scam site
domain,pqpaop.top,mobile-wallet only scam site
domain,pqpdvp.top,mobile-wallet only scam site
domain,pqpejd.top,mobile-wallet only scam site
domain,pqpicn.top,mobile-wallet only scam site
domain,pqpivu.top,mobile-wallet only scam site
domain,pqpndv.top,mobile-wallet only scam site
domain,pqppfr.top,mobile-wallet only scam site
domain,pqprrx.top,mobile-wallet only scam site
domain,pspiit.top,mobile-wallet only scam site
domain,pspqnv.top,mobile-wallet only scam site
domain,psprub.top,mobile-wallet only scam site
domain,pspziv.top,mobile-wallet only scam site
domain,ptpemd.top,mobile-wallet only scam site
domain,ptpeuc.top,mobile-wallet only scam site
domain,ptpnmx.top,mobile-wallet only scam site
domain,ptppeg.top,mobile-wallet only scam site
domain,pupcyo.top,mobile-wallet only scam site
domain,puprtd.top,mobile-wallet only scam site
domain,pupvgk.top,mobile-wallet only scam site
domain,pvpasm.top,mobile-wallet only scam site
domain,pvpbbr.top,mobile-wallet only scam site
domain,pvpilm.top,mobile-wallet only scam site
domain,pvpnma.top,mobile-wallet only scam site
domain,pvpoci.top,mobile-wallet only scam site
domain,pvprgz.top,mobile-wallet only scam site
domain,pvprii.top,mobile-wallet only scam site
domain,pvpsue.top,mobile-wallet only scam site
domain,pvpvpm.top,mobile-wallet only scam site
domain,pvpwbq.top,mobile-wallet only scam site
domain,pvpxjz.top,mobile-wallet only scam site
domain,pwpqmm.top,mobile-wallet only scam site
domain,pwprgv.top,mobile-wallet only scam site
domain,pxpczu.top,mobile-wallet only scam site
domain,pxpfrd.top,mobile-wallet only scam site
domain,pxptnp.top,mobile-wallet only scam site
domain,pxpzcl.top,mobile-wallet only scam site
domain,pypbof.top,mobile-wallet only scam site
domain,pyplfq.top,mobile-wallet only scam site
domain,pypwud.top,mobile-wallet only scam site
domain,pzpinn.top,mobile-wallet only scam site
domain,pzpray.top,mobile-wallet only scam site
domain,tbtrc.com,analysis-resistant scam site
domain,tclink.net,analysis-resistant scam site
domain,tknpo.com,analysis-resistant scam site
domain,tronbet.co,analysis-resistant scam site
domain,tronbet.net,analysis-resistant scam site
domain,tronixdapp-mining.com,analysis-resistant scam site
domain,tronixdapp-pro.com,analysis-resistant scam site
domain,tronixnode.org,analysis-resistant scam site
domain,tronusd.store,analysis-resistant scam site
domain,trust-btrust-oke.comnb.link,TRUST TAC scam site
domain,trust-eth.com,TRUST TAC scam site
domain,trust-oke.com,TRUST TAC scam site
domain,trust-usdt.com ,TRUST TAC scam site
domain,trust-v2.com,TRUST TAC scam site
domain,trxbscg.com,analysis-resistant scam site
domain,ttqhb8.com,analysis-resistant scam site
domain,ucmining.one,analysis-resistant scam site
domain,usdmining.cloud,analysis-resistant scam site
domain,usdmining.info,analysis-resistant scam site
domain,usdmining.love,analysis-resistant scam site
domain,usdmining.one,analysis-resistant scam site
domain,usdmining.shop,analysis-resistant scam site
domain,usdt3.me,analysis-resistant scam site
domain,usdt8.me,analysis-resistant scam site
domain,usdtbnbs.com,analysis-resistant scam site
domain,usdtbs.com,analysis-resistant scam site
domain,usdtmining.org,analysis-resistant scam site
domain,usdtmining.vip,analysis-resistant scam site
domain,usdtmining1.com,analysis-resistant scam site
domain,usdtmining12.com,analysis-resistant scam site
domain,usdtmining13.com,analysis-resistant scam site
domain,usdtmining15.com,analysis-resistant scam site
domain,usdtmining16.com,analysis-resistant scam site
domain,usdtmining18.com,analysis-resistant scam site
domain,usdtmining3.com,analysis-resistant scam site
domain,usdtmining4.com,analysis-resistant scam site
domain,usdtmining9.com,analysis-resistant scam site
domain,usdtminings.me,analysis-resistant scam site
domain,v2-eth.com,TRUST TAC scam site
domain,w-eth.com,
domain,www.usdtmining20.com,analysis-resistant scam site
domain,ygalaxy168.com,analysis-resistant scam site
domain,ttqhb8.com,analysis-resistant scam site
domain,ucmining.one,analysis-resistant scam site
domain,usdmining.cloud,analysis-resistant scam site
domain,usdmining.info,analysis-resistant scam site
domain,usdmining.love,analysis-resistant scam site
domain,usdmining.one,analysis-resistant scam site
domain,usdmining.shop,analysis-resistant scam site
domain,usdt3.me,analysis-resistant scam site
domain,usdt8.me,analysis-resistant scam site
domain,usdtbnbs.com,analysis-resistant scam site
domain,usdtbs.com,analysis-resistant scam site
domain,usdtmining.org,analysis-resistant scam site
domain,usdtmining.vip,analysis-resistant scam site
domain,usdtmining1.com,analysis-resistant scam site
domain,usdtmining12.com,analysis-resistant scam site
domain,usdtmining13.com,analysis-resistant scam site
domain,usdtmining15.com,analysis-resistant scam site
domain,usdtmining16.com,analysis-resistant scam site
domain,usdtmining18.com,analysis-resistant scam site
domain,usdtmining3.com,analysis-resistant scam site
domain,usdtmining4.com,analysis-resistant scam site
domain,usdtmining9.com,analysis-resistant scam site
domain,usdtminings.me,analysis-resistant scam site
domain,v2-eth.com,TRUST TAC scam site
domain,w-eth.com,
domain,www.usdtmining20.com,analysis-resistant scam site
domain,ygalaxy168.com,analysis-resistant scam site